"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"143","08X405","HERBERT LEHMAN HS",430,532,197,20092010,80.7,4115,8.8,16.6,6,22.5,60.9,9.2,59.1,2009,2010,415,412,436,393,1241
"144","08X405","HERBERT LEHMAN HS",430,532,197,20102011,80.7,3925,9.7,18.7,6.8,22.5,61.3,8.8,58.9,2010,2011,415,412,436,393,1241
"145","08X405","HERBERT LEHMAN HS",430,532,197,20112012,66.8,3593,9.2,20.9,6.8,23,60.6,9,61.1,2011,2012,415,412,436,393,1241
"146","08X650","JANE ADDAMS VHS",44,69,8,20092010,89.2,1274,10.8,17.7,1.7,35.7,61.1,0.4,29.4,2009,2010,78,377,359,376,1112
"147","08X650","JANE ADDAMS VHS",44,69,8,20102011,88.2,1004,10.5,18.2,1.7,37.1,60.7,0.3,28.9,2010,2011,78,377,359,376,1112
"148","08X650","JANE ADDAMS VHS",44,69,8,20112012,85.7,717,11.2,22.2,1.5,36.8,60.8,0.3,28.3,2011,2012,78,377,359,376,1112
"149","09X231","Eagle Academy for Young Men",32,44,11,20092010,71.1,449,3.1,20.3,1.6,62.8,33.4,0.2,100,2009,2010,78,373,387,374,1134
"150","09X231","Eagle Academy for Young Men",32,44,11,20102011,71.1,454,5.3,22.2,0.9,63.7,32.2,0.9,100,2010,2011,78,373,387,374,1134
"151","09X231","Eagle Academy for Young Men",32,44,11,20112012,60.4,550,4,24.2,0.7,63.1,33.8,0.5,100,2011,2012,78,373,387,374,1134
"152","11X455","HARRY S TRUMAN HS",103,135,27,20092010,47.1,2131,8.3,22.9,2.3,52.7,42.4,1.1,58.6,2009,2010,189,386,397,368,1151
"153","11X455","HARRY S TRUMAN HS",103,135,27,20102011,50.7,1987,9.3,26.8,1.9,51.4,44.6,1,60.2,2010,2011,189,386,397,368,1151
"154","11X455","HARRY S TRUMAN HS",103,135,27,20112012,50.6,1773,9.2,25.1,2,51.8,43.8,1.3,60,2011,2012,189,386,397,368,1151
"155","09X250","Eximius College Preparatory Academy: A College Boa",90,146,11,20092010,70.3,386,6.7,13,0.3,43.8,53.1,0.5,45.3,2009,2010,50,393,394,382,1169
"156","09X250","Eximius College Preparatory Academy: A College Boa",90,146,11,20102011,70.3,359,8.4,17,1.1,42.6,55.7,0.3,48.2,2010,2011,50,393,394,382,1169
"157","09X250","Eximius College Preparatory Academy: A College Boa",90,146,11,20112012,62.9,356,8.1,18.8,0.6,40.7,58.1,0.3,46.6,2011,2012,50,393,394,382,1169
"158","09X260","Bronx Center for Science and Mathematics",62,80,35,20092010,80.9,430,3.5,9.3,6,21.9,70.9,0.7,48.8,2009,2010,81,459,480,457,1396
"159","09X260","Bronx Center for Science and Mathematics",62,80,35,20102011,80.9,423,2.8,11.3,6.6,23.4,69,0.9,44.2,2010,2011,81,459,480,457,1396
"160","09X260","Bronx Center for Science and Mathematics",62,80,35,20112012,70,444,1.6,14,5.9,24.3,68.7,1.1,46.2,2011,2012,81,459,480,457,1396
"161","09X276","Leadership Institute",17,17,7,20092010,93.5,296,13.2,13.2,1,39.5,56.4,1.4,54.1,2009,2010,30,361,353,367,1081
"162","09X276","Leadership Institute",17,17,7,20102011,81.9,262,18.3,18.7,1.1,33.2,63.4,1.5,52.3,2010,2011,30,361,353,367,1081
"163","09X276","Leadership Institute",17,17,7,20112012,94.8,230,16.5,16.1,1.7,33,63.5,1.3,52.2,2011,2012,30,361,353,367,1081
"164","09X365","Academy for Language and Technology",20,20,20,20092010,83.7,302,90.7,1,0,0.3,99.7,0,51,2009,2010,54,315,339,297,951
"165","09X365","Academy for Language and Technology",20,20,20,20102011,98.7,364,86.8,1.1,0,0.5,99.5,0,50.8,2010,2011,54,315,339,297,951
"166","09X365","Academy for Language and Technology",20,20,20,20112012,85.7,336,86.6,0.9,0,0.6,99.4,0,48.8,2011,2012,54,315,339,297,951
"167","09X412","BRONX HIGH SCHOOL OF BUSINESS",26,31,9,20092010,74.2,443,17.6,16.5,1.8,35.7,61.9,0,55.5,2009,2010,34,356,376,351,1083
"168","09X412","BRONX HIGH SCHOOL OF BUSINESS",26,31,9,20102011,81.5,439,20.7,21.4,1.8,36.2,60.4,0.9,56.9,2010,2011,34,356,376,351,1083
"169","09X412","BRONX HIGH SCHOOL OF BUSINESS",26,31,9,20112012,77.6,401,23.2,23.2,0.7,38.7,59.9,0.5,54.9,2011,2012,34,356,376,351,1083
"170","09X505","BRONX SCH FOR LAW, GOVT, JUST",45,55,27,20092010,79.2,632,5.4,12.7,2.8,33.1,61.6,1.7,43.7,2009,2010,80,404,418,402,1224
"171","09X505","BRONX SCH FOR LAW, GOVT, JUST",45,55,27,20102011,79.2,723,5.8,14.2,2.1,32.4,63.6,1.7,45.4,2010,2011,80,404,418,402,1224
"172","09X505","BRONX SCH FOR LAW, GOVT, JUST",45,55,27,20112012,66.2,763,6.6,14,2,30.4,66.2,1,45.9,2011,2012,80,404,418,402,1224
"173","09X525","BRONX LEADERSHIP ACADEMY HS",40,42,8,20092010,85.2,658,8.8,18.4,1.1,43,54.1,0.6,42.4,2009,2010,114,384,394,388,1166
"174","09X525","BRONX LEADERSHIP ACADEMY HS",40,42,8,20102011,83.3,649,8,19.4,1.5,43.1,53.9,0.9,43.6,2010,2011,114,384,394,388,1166
"175","09X525","BRONX LEADERSHIP ACADEMY HS",40,42,8,20112012,76.9,705,9.6,20.3,0.7,41.1,57,0,43.3,2011,2012,114,384,394,388,1166
"176","10X141","MS/HS 141 D A STEIN RIV/KINGSB",133,184,119,20092010,51.9,1302,6.5,15.1,9,13.5,49.7,26.4,51.4,2009,2010,113,438,455,440,1333
"177","10X141","MS/HS 141 D A STEIN RIV/KINGSB",133,184,119,20102011,51.9,1335,7.2,15,8.9,13.9,51.8,24.7,51.8,2010,2011,113,438,455,440,1333
"178","10X141","MS/HS 141 D A STEIN RIV/KINGSB",133,184,119,20112012,39.7,1337,6.7,15.2,8.8,13,53,24.9,51.8,2011,2012,113,438,455,440,1333
"179","10X213","Bronx Engineering and Technology Academy",107,228,10,20092010,89.3,404,16.8,19.6,4,33.9,60.4,1.5,84.4,2009,2010,86,373,412,365,1150
"180","10X213","Bronx Engineering and Technology Academy",107,228,10,20102011,89.4,429,19.6,19.3,5.1,31,62.9,0.9,84.1,2010,2011,86,373,412,365,1150
"181","10X213","Bronx Engineering and Technology Academy",107,228,10,20112012,79.8,444,15.5,21.4,5.2,29.5,64.2,0.9,82.7,2011,2012,86,373,412,365,1150
"182","10X243","West Bronx Academy for the Future",25,29,14,20092010,93.4,558,13.3,17.4,3.9,29.7,63.6,1.3,56.5,2009,2010,26,382,406,370,1158
"183","10X243","West Bronx Academy for the Future",25,29,14,20102011,96,610,15.2,18.4,3.8,26.2,67.2,1.8,57.9,2010,2011,26,382,406,370,1158
"184","10X243","West Bronx Academy for the Future",25,29,14,20112012,86.3,636,13.2,19.5,3.5,24.7,69.5,1.3,57.9,2011,2012,26,382,406,370,1158
"185","10X342","International School for Liberal Arts",55,73,45,20092010,83.2,510,80.2,4.1,0,0.2,99.4,0.4,52.4,2009,2010,49,300,333,301,934
"186","10X342","International School for Liberal Arts",55,73,45,20102011,88.9,558,82.4,4.3,0,0,99.5,0,49.6,2010,2011,49,300,333,301,934
"187","10X342","International School for Liberal Arts",55,73,45,20112012,78.3,606,79.9,4.6,0.2,0,99.8,0,49,2011,2012,49,300,333,301,934
"188","10X368","MS/HS 368 INFO & NETWORK TECH",40,54,17,20092010,91.1,1074,14.5,15.5,4.2,11.3,81,3,51.4,2009,2010,111,390,408,383,1181
"189","10X368","MS/HS 368 INFO & NETWORK TECH",40,54,17,20102011,91.1,1118,13.4,14.8,3.9,11.9,80.9,2.3,49.7,2010,2011,111,390,408,383,1181
"190","10X368","MS/HS 368 INFO & NETWORK TECH",40,54,17,20112012,77.9,1126,12.1,14.3,4,11.9,81.9,2,48.9,2011,2012,111,390,408,383,1181
"191","10X433","HS FOR TEACHING & PROFESSIONS",62,83,13,20092010,90.8,484,16.7,17.4,1.9,32.4,64.3,0.8,38.4,2009,2010,57,370,371,365,1106
"192","10X433","HS FOR TEACHING & PROFESSIONS",62,83,13,20102011,95.4,465,18.7,20.6,2.6,28.8,68,0.6,40.2,2010,2011,57,370,371,365,1106
"193","10X433","HS FOR TEACHING & PROFESSIONS",62,83,13,20112012,88.1,473,17.8,20.1,2.5,25.2,70.4,1.9,42.3,2011,2012,57,370,371,365,1106
"194","10X434","BELMONT PREPARATORY HIGH SCHL",31,45,10,20092010,90.4,413,16.9,15,3.4,32.7,62,1.5,46.7,2009,2010,51,404,418,400,1222
"195","10X434","BELMONT PREPARATORY HIGH SCHL",31,45,10,20102011,95.4,389,14.7,17,3.1,30.8,64.8,1,46,2010,2011,51,404,418,400,1222
"196","10X434","BELMONT PREPARATORY HIGH SCHL",31,45,10,20112012,76.8,407,11.3,15.7,3.2,29,65.6,1.7,47.2,2011,2012,51,404,418,400,1222
"197","10X438","FORDHAM LDRSHP ACAD BUS & TECH",42,47,12,20092010,89.8,495,13.1,14.9,2.6,36.4,58.2,1.8,60.6,2009,2010,63,367,385,367,1119
"198","10X438","FORDHAM LDRSHP ACAD BUS & TECH",42,47,12,20102011,89.7,463,17.1,19.9,2.4,29.2,66.3,1.5,62.6,2010,2011,63,367,385,367,1119
"199","10X438","FORDHAM LDRSHP ACAD BUS & TECH",42,47,12,20112012,78.9,451,16.6,20.6,2.7,27.7,67.8,1.3,63.4,2011,2012,63,367,385,367,1119
"200","10X439","BRONX HS OF LAW & COMM SERVICE",44,65,9,20092010,90.2,451,13.7,20,2.2,37.3,58.1,1.1,41.5,2009,2010,65,366,364,352,1082
"201","10X439","BRONX HS OF LAW & COMM SERVICE",44,65,9,20102011,91.5,419,13.4,20.3,2.4,35.3,59.9,1.7,44.6,2010,2011,65,366,364,352,1082
"202","10X439","BRONX HS OF LAW & COMM SERVICE",44,65,9,20112012,80.2,432,13.4,20.8,2.3,30.8,64.6,0.9,44.4,2011,2012,65,366,364,352,1082
"203","10X440","DEWITT CLINTON HS",366,540,262,20092010,81.3,4444,21,11.4,6,27.6,63.2,2.2,48.5,2009,2010,443,419,426,410,1255
"204","10X440","DEWITT CLINTON HS",366,540,262,20102011,85.2,4408,19,13.9,6.6,28.8,61.7,2.1,49.2,2010,2011,443,419,426,410,1255
"205","10X440","DEWITT CLINTON HS",366,540,262,20112012,74.8,4159,19,14.9,6.7,30.8,59.6,2.1,51.1,2011,2012,443,419,426,410,1255
"206","10X442","Celia Cruz Bronx High School of Music, The",31,35,8,20092010,82.1,365,5.8,7.9,0.3,29,66.8,2.2,39.5,2009,2010,52,423,420,427,1270
"207","10X442","Celia Cruz Bronx High School of Music, The",31,35,8,20102011,86.3,397,4.8,8.8,0.5,27.5,69.3,2.5,39.8,2010,2011,52,423,420,427,1270
"208","10X442","Celia Cruz Bronx High School of Music, The",31,35,8,20112012,74.7,423,3.5,7.8,0.5,27.2,69.5,2.4,40.7,2011,2012,52,423,420,427,1270
"209","10X445","BRONX HS OF SCIENCE",1190,2435,2189,20092010,31.9,2941,0,0.3,60.8,3.3,7.7,25.2,57.4,2009,2010,731,632,688,649,1969
"210","10X445","BRONX HS OF SCIENCE",1190,2435,2189,20102011,31.6,3017,0,0.3,61.8,3.4,8,26.4,57.8,2010,2011,731,632,688,649,1969
"211","10X445","BRONX HS OF SCIENCE",1190,2435,2189,20112012,34.2,3013,0.1,0.1,63.5,3.5,7.2,25.4,57.8,2011,2012,731,632,688,649,1969
"212","10X475","JOHN F KENNEDY HS",46,48,19,20092010,85.3,1291,21.4,17.4,1.7,32.8,62.2,2.3,65.7,2009,2010,109,351,362,339,1052
"213","10X475","JOHN F KENNEDY HS",46,48,19,20102011,91.2,1142,22.2,19.3,2,32.1,62.2,1.9,67.3,2010,2011,109,351,362,339,1052
"214","10X475","JOHN F KENNEDY HS",46,48,19,20112012,77.8,706,23.8,20.8,0.7,35.1,62.7,1.4,68.3,2011,2012,109,351,362,339,1052
"215","10X477","MARBLE HILL HS FOR INT STUDIES",83,141,37,20092010,94.9,445,31.9,7.4,11.2,18.2,62.9,5.8,45.6,2009,2010,99,414,435,414,1263
"216","10X477","MARBLE HILL HS FOR INT STUDIES",83,141,37,20102011,94.8,449,31,8,12.2,20.7,60.1,6.2,47.2,2010,2011,99,414,435,414,1263
"217","10X477","MARBLE HILL HS FOR INT STUDIES",83,141,37,20112012,83.9,456,32.2,6.8,11,23,57.9,7.5,46.7,2011,2012,99,414,435,414,1263
"218","10X696","HIGH SCHOOL OF AMERICAN STUDIES At Lehman College",194,302,243,20112012,20.8,377,0,1.3,16.7,10.6,18,53.8,53.8,2011,2012,92,636,648,636,1920
"219","11X288","Collegiate Institute for Math and Science",79,111,33,20092010,74.2,485,2.7,11.1,6.8,39.6,46.6,5.8,56.5,2009,2010,97,444,471,433,1348
"220","11X288","Collegiate Institute for Math and Science",79,111,33,20102011,79.5,503,3.2,12.7,8.5,39.8,45.7,5.2,56.9,2010,2011,97,444,471,433,1348
"221","11X288","Collegiate Institute for Math and Science",79,111,33,20112012,67.9,543,3.3,14,9.2,36.8,46.8,7,57.1,2011,2012,97,444,471,433,1348
"222","11X299","Astor Collegiate Academy",36,48,12,20092010,73.6,471,7.2,18.9,4.5,42,41,10,58.4,2009,2010,60,387,391,391,1169
"223","11X299","Astor Collegiate Academy",36,48,12,20102011,74.5,480,10,21.7,4.8,40.2,42.7,11.3,57.3,2010,2011,60,387,391,391,1169
"224","11X299","Astor Collegiate Academy",36,48,12,20112012,64.4,498,7.6,21.7,5.4,35.7,46,11.8,58.6,2011,2012,60,387,391,391,1169
"225","11X415","CHRISTOPHER COLUMBUS HS",34,34,6,20092010,69.2,1396,17.3,22.3,6,36.1,45.9,10.2,56.4,2009,2010,121,367,361,353,1081
"226","11X415","CHRISTOPHER COLUMBUS HS",34,34,6,20102011,65.2,1155,16.2,24.1,6.5,37.2,45,10.9,56,2010,2011,121,367,361,353,1081
"227","11X415","CHRISTOPHER COLUMBUS HS",34,34,6,20112012,59.2,727,18.3,24.1,5.8,34.9,46.5,12.7,55.2,2011,2012,121,367,361,353,1081
"228","11X418","BRONX HS FOR THE VISUAL ARTS",26,41,9,20092010,78.9,406,4.2,19.2,1.5,35.5,54.4,7.6,59.1,2009,2010,48,419,433,416,1268
"229","11X418","BRONX HS FOR THE VISUAL ARTS",26,41,9,20102011,78.9,425,5.4,22.1,2.1,33.9,56,7.5,59.8,2010,2011,48,419,433,416,1268
"230","11X418","BRONX HS FOR THE VISUAL ARTS",26,41,9,20112012,68.7,483,5.2,20.9,1.9,29.2,62.3,6.4,58,2011,2012,48,419,433,416,1268
"231","11X542","Pelham Preparatory Academy",46,57,17,20092010,72,506,3.2,10.3,3,40.1,43.1,7.3,44.9,2009,2010,76,431,438,419,1288
"232","11X542","Pelham Preparatory Academy",46,57,17,20102011,74.3,501,2.6,10.2,2.4,44.5,46.7,6,47.3,2010,2011,76,431,438,419,1288
"233","11X542","Pelham Preparatory Academy",46,57,17,20112012,61,507,2.2,14.2,2.4,40.2,49.7,6.9,48.1,2011,2012,76,431,438,419,1288
"234","13K430","BROOKLYN TECHNICAL HS",2117,3692,2687,20092010,53.8,4947,0,0.7,58.8,12,8.3,20.5,58,2009,2010,1277,587,659,587,1833
"235","13K430","BROOKLYN TECHNICAL HS",2117,3692,2687,20102011,64.3,5140,0.1,0.8,60.4,10.7,7.7,21,58.4,2010,2011,1277,587,659,587,1833
"236","13K430","BROOKLYN TECHNICAL HS",2117,3692,2687,20112012,50.7,5332,0.1,0.5,60.3,10.2,7.9,21.3,58.3,2011,2012,1277,587,659,587,1833
"237","13K483","Urban Assembly School for Law and Justice, The",31,57,24,20092010,77.7,465,1.3,10.5,1.3,80.4,17.6,0.4,27.7,2009,2010,105,400,417,389,1206
"238","13K483","Urban Assembly School for Law and Justice, The",31,57,24,20102011,81,458,1.3,12.9,1.1,82.5,15.1,0.7,34.5,2010,2011,105,400,417,389,1206
"239","13K483","Urban Assembly School for Law and Justice, The",31,57,24,20112012,60.5,450,0.9,13.3,0.9,79.1,17.1,1.1,39.6,2011,2012,105,400,417,389,1206
"240","13K595","Bedford Academy High School",43,57,16,20092010,68.1,342,0.3,4.7,1.2,88.3,6.1,0,44.4,2009,2010,89,438,443,431,1312
"241","13K595","Bedford Academy High School",43,57,16,20102011,66.6,363,0.3,3.9,1.7,90.1,6.9,0.3,44.1,2010,2011,89,438,443,431,1312
"242","13K595","Bedford Academy High School",43,57,16,20112012,46.7,367,1.1,4.1,2.7,89.4,7.1,0.3,49,2011,2012,89,438,443,431,1312
"243","13K670","BENJAMIN BANNEKER ACADEMY",132,149,62,20102011,68.8,832,0.4,2.3,2.2,89.3,8.1,0.2,44.6,2010,2011,185,471,472,448,1391
"244","13K670","BENJAMIN BANNEKER ACADEMY",132,149,62,20112012,47.4,895,0,3,2.7,87,8.8,0.4,46.1,2011,2012,185,471,472,448,1391
"245","14K071","JHS 071 JUAN MOREL CAMPOS",16,16,12,20092010,93.2,906,23.2,26.5,0.3,19.8,76,3.3,54.1,2009,2010,102,365,361,359,1085
"246","14K071","JHS 071 JUAN MOREL CAMPOS",16,16,12,20102011,93.2,877,25.2,25.9,0.2,17.7,78,3.5,52.8,2010,2011,102,365,361,359,1085
"247","14K071","JHS 071 JUAN MOREL CAMPOS",16,16,12,20112012,76.6,865,24.9,26.7,0.2,15.3,80.6,3.4,54.7,2011,2012,102,365,361,359,1085
"248","14K478","HS OF ENTERPRISE AND TECH",94,129,19,20092010,85.9,885,10.6,12.1,2.3,37.9,56.8,1.6,68.1,2009,2010,142,398,421,396,1215
"249","14K478","HS OF ENTERPRISE AND TECH",94,129,19,20102011,84.9,950,9.9,13.4,2.4,38.5,56.6,1.9,67.2,2010,2011,142,398,421,396,1215
"250","14K478","HS OF ENTERPRISE AND TECH",94,129,19,20112012,74.2,976,9.9,13.2,3.2,39.3,55.4,1.9,65.7,2011,2012,142,398,421,396,1215
"251","14K488","Brooklyn Preparatory High School",28,46,7,20092010,81.9,351,1.4,16.8,2,70.1,24.5,1.7,47.3,2009,2010,42,367,373,350,1090
"252","14K488","Brooklyn Preparatory High School",28,46,7,20102011,81.6,380,2.4,17.4,1.6,65.3,30.8,1.6,47.1,2010,2011,42,367,373,350,1090
"253","14K488","Brooklyn Preparatory High School",28,46,7,20112012,80.3,400,2.7,18.8,1.7,58.7,37.7,1,47.7,2011,2012,42,367,373,350,1090
"254","17K382","Academy for College Preparation and Career Explora",64,82,7,20092010,69.7,599,2.7,10,0.5,89.8,7.2,1.2,54.8,2009,2010,59,396,374,369,1139
"255","17K382","Academy for College Preparation and Career Explora",64,82,7,20102011,54.3,563,6.2,11,0.7,91.5,5.7,2,54.5,2010,2011,59,396,374,369,1139
"256","17K382","Academy for College Preparation and Career Explora",64,82,7,20112012,57,565,5,10.8,0.2,92,6.7,1.1,53.8,2011,2012,59,396,374,369,1139
"257","17K546","High School for Public Service: Heroes  of Tomorro",106,130,13,20092010,76.3,387,0.8,6.5,0.8,86,12.7,0,22.5,2009,2010,79,418,441,414,1273
"258","17K546","High School for Public Service: Heroes  of Tomorro",106,130,13,20102011,72.4,407,0.2,3.7,1.5,86.5,10.3,0.2,23.8,2010,2011,79,418,441,414,1273
"259","17K546","High School for Public Service: Heroes  of Tomorro",106,130,13,20112012,70.3,417,0.5,4.1,3.6,82.5,12.2,0.7,24.9,2011,2012,79,418,441,414,1273
"260","17K548","Brooklyn School for Music & Theatre",37,41,9,20092010,77,411,0.7,10.7,0.7,84.9,12.4,0.7,30.7,2009,2010,48,385,393,373,1151
"261","17K548","Brooklyn School for Music & Theatre",37,41,9,20102011,77,396,0.5,10.6,0.8,84.6,13.4,0.8,30.3,2010,2011,48,385,393,373,1151
"262","17K548","Brooklyn School for Music & Theatre",37,41,9,20112012,60.5,412,0.5,12.1,1,82.8,15.3,1,32.8,2011,2012,48,385,393,373,1151
"263","17K590","MIDDLE COLL HS @ MEDGAR EVERS",272,507,86,20102011,82.8,1032,0,0.2,0.5,96.5,2.8,0.2,43.4,2010,2011,165,476,481,479,1436
"264","17K590","MIDDLE COLL HS @ MEDGAR EVERS",272,507,86,20112012,59.1,1104,0,0.5,0.9,95.7,2.8,0,41.8,2011,2012,165,476,481,479,1436
"265","17K600","CLARA BARTON VHS",135,211,63,20092010,80.9,1980,6.1,10.2,1.4,89.4,6.8,0.6,23.2,2009,2010,259,425,413,413,1251
"266","17K600","CLARA BARTON VHS",135,211,63,20102011,79.9,1746,6.9,10.7,1.5,90.5,6.9,0.6,23,2010,2011,259,425,413,413,1251
"267","17K600","CLARA BARTON VHS",135,211,63,20112012,73,1608,8.3,12.7,1.8,91.2,5.8,0.7,23.8,2011,2012,259,425,413,413,1251
"268","19K583","Multicultural High School",44,44,39,20092010,72.9,344,89.8,0.9,0.3,1.5,97.1,0,49.7,2009,2010,29,279,322,286,887
"269","19K583","Multicultural High School",44,44,39,20102011,83,415,90.1,0.7,0,1,99,0,50.1,2010,2011,29,279,322,286,887
"270","19K583","Multicultural High School",44,44,39,20112012,73.4,406,94.6,1,0,0.2,99.8,0,49.8,2011,2012,29,279,322,286,887
"271","19K615","ENY-TRANSIT TECH HS",138,164,18,20092010,75.9,1543,2.1,11.5,4.1,71,22.4,1.6,81.1,2009,2010,182,395,418,380,1193
"272","19K615","ENY-TRANSIT TECH HS",138,164,18,20102011,75.9,1458,2.5,13.4,4,71.3,22.6,1.4,82.6,2010,2011,182,395,418,380,1193
"273","19K615","ENY-TRANSIT TECH HS",138,164,18,20112012,62.3,1317,2.4,14.2,4.4,70.5,23.2,1.5,84.1,2011,2012,182,395,418,380,1193
"274","19K659","Cypress Hills Collegiate Preparatory School",21,21,10,20092010,73.2,420,11.2,11,11,16.2,68.6,2.1,45,2009,2010,51,376,385,368,1129
"275","19K659","Cypress Hills Collegiate Preparatory School",21,21,10,20102011,74,433,13.4,11.5,7.6,18,70.2,2.5,47.3,2010,2011,51,376,385,368,1129
"276","19K659","Cypress Hills Collegiate Preparatory School",21,21,10,20112012,67.1,437,16.2,11.7,8.2,16.9,73.2,1.4,47.8,2011,2012,51,376,385,368,1129
"277","20K445","NEW UTRECHT HS",174,271,95,20092010,54,2935,23,14.9,29.2,6.8,31.8,31.4,58.3,2009,2010,456,402,471,399,1272
"278","20K445","NEW UTRECHT HS",174,271,95,20102011,53.6,3218,24.5,14.3,34.3,6,28.8,30.8,59.7,2010,2011,456,402,471,399,1272
"279","20K445","NEW UTRECHT HS",174,271,95,20112012,59,3276,23,15.6,35.9,5.5,28,30.5,59.3,2011,2012,456,402,471,399,1272
"280","20K485","HS OF TELECOMMUNICATIONS",251,413,123,20092010,79.7,1297,5.7,16.7,18.7,10.7,53.7,16,55.4,2009,2010,238,425,474,424,1323
"281","20K485","HS OF TELECOMMUNICATIONS",251,413,123,20102011,79.7,1297,5.6,18,18.4,10.3,54.9,15.9,53.7,2010,2011,238,425,474,424,1323
"282","20K485","HS OF TELECOMMUNICATIONS",251,413,123,20112012,67.3,1280,4.9,19.4,19.2,9.5,54.1,16.8,53.5,2011,2012,238,425,474,424,1323
"283","20K490","FORT HAMILTON HS",357,576,331,20092010,55.2,4270,20.7,10.2,28.1,5.1,31.9,33.7,54.1,2009,2010,694,417,478,411,1306
"284","20K490","FORT HAMILTON HS",357,576,331,20102011,48.5,4353,21.7,11.9,29.6,5,30.3,34.4,54.7,2010,2011,694,417,478,411,1306
"285","20K490","FORT HAMILTON HS",357,576,331,20112012,45.9,4275,21.2,12.8,30.3,5,30.2,34.2,53.4,2011,2012,694,417,478,411,1306
