,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score
1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122
2,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172
3,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149
4,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174
5,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207
6,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205
7,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621
8,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246
9,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856
10,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182
11,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194
12,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156
13,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111
14,02M298,PACE HIGH SCHOOL,85,423,438,432,1293
15,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269
16,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051
17,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148
18,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200
19,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188
20,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127
21,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176
22,02M376,NYC ISCHOOL,92,473,483,479,1435
23,02M392,MANHATTAN BUSINESS ACADEMY,NA,NA,NA,NA,NA
24,02M393,BUSINESS OF SPORTS SCHOOL,NA,NA,NA,NA,NA
25,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188
26,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,NA,NA,NA,NA,NA
27,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419
28,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424
29,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522
30,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577
31,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677
32,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565
33,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419
34,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,1758
35,02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,1614
36,02M419,LANDMARK HIGH SCHOOL,62,390,399,381,1170
37,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,1306
38,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,1233
39,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,NA,NA,NA,NA,NA
40,02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,1062
41,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,NA,NA,NA,NA,NA
42,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,NA,NA,NA,NA,NA
43,02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,1372
44,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,1111
45,02M449,VANGUARD HIGH SCHOOL,72,395,416,388,1199
46,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,1227
47,02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,1120
48,02M473,WASHINGTON IRVING YABC,NA,NA,NA,NA,NA
49,02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,2096
50,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,1374
51,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,1070
52,02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,1416
53,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,1240
54,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,1239
55,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,1253
56,02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,1058
57,02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,1168
58,02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335,1095
59,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,1424
60,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,1156
61,02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,1212
62,02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477,1415
63,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,1547
64,02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,1032
65,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343,1205
66,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,1195
67,02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,1303
68,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,1257
69,02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426,1255
70,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390,1207
71,02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,1108
72,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,1153
73,02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430,1315
74,02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,1236
75,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,1193
76,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,1132
77,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,1144
78,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,NA,NA,NA,NA,NA
79,03M403,THE GLOBAL LEARNING COLLABORATIVE,NA,NA,NA,NA,NA
80,03M404,INNOVATION DIPLOMA PLUS,12,416,403,381,1200
81,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370,1109
82,03M417,FRANK MCCOURT HIGH SCHOOL,NA,NA,NA,NA,NA
83,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358,1118
84,03M479,BEACON HIGH SCHOOL,261,577,575,592,1744
85,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577,1707
86,03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402,1196
87,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411,1277
88,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351,1121
89,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467,1446
90,03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,NA,NA,NA,NA,NA
91,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361,1096
92,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373,1084
93,04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455,1430
94,04M495,PARK EAST HIGH SCHOOL,51,373,379,376,1128
95,04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395,1221
96,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448,1326
97,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357,1095
98,04M680,"HERITAGE SCHOOL, THE",31,358,351,345,1054
99,05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333,1008
100,05M304,MOTT HALL HIGH SCHOOL,54,413,399,398,1210
101,05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",NA,NA,NA,NA,NA
102,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342,1062
103,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364,1077
104,05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385,1099
105,05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442,1374
106,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404,1202
107,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355,1085
108,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847
109,06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416,1270
110,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367,1105
111,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399,1174
112,06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,NA,NA,NA,NA,NA
113,06M457,GEORGE WASHINGTON YABC,7,394,357,346,1097
114,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378,1127
115,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349,1098
116,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,1102
117,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,1224
118,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,1309
119,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326,1014
120,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,1090
121,07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,1125
122,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,945
123,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,NA,NA,NA,NA,NA
124,07X381,BRONX HAVEN HIGH SCHOOL,NA,NA,NA,NA,NA
125,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,1077
126,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371,1097
127,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404,1201
128,07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411,1257
129,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,1186
130,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363,1103
131,07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361,1084
132,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,1181
133,07X551,BRONX ACADEMY OF LETTERS,51,413,381,407,1201
134,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,1158
135,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,1184
136,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,1095
137,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,NA,NA,NA,NA,NA
138,08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378,1171
139,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389,1158
140,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394,1200
141,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,1038
142,08X312,MILLENNIUM ART ACADEMY,67,387,402,375,1164
143,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,1084
144,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",NA,NA,NA,NA,NA
145,08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",NA,NA,NA,NA,NA
146,08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376,1112
147,08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,1241
148,08X408,HERBERT H. LEHMAN YABC,6,402,373,413,1188
149,08X432,BRONX BRIDGES HIGH SCHOOL,NA,NA,NA,NA,NA
150,08X452,BRONX GUILD,39,369,371,365,1105
151,08X507,STEVENSON YABC,NA,NA,NA,NA,NA
152,08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356,1099
153,08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,1131
154,08X537,BRONX ARENA HIGH SCHOOL,NA,NA,NA,NA,NA
155,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,1134
156,08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,1171
157,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,1112
158,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349,1049
159,09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374,1134
160,09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357,1084
161,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415,1290
162,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382,1169
163,09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,1092
164,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457,1396
165,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356,1075
166,09X276,LEADERSHIP INSTITUTE,30,361,353,367,1081
167,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376,1148
168,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,NA,NA,NA,NA,NA
169,09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391,1138
170,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297,951
171,09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339,965
172,09X404,SCHOOL FOR EXCELLENCE,32,363,360,351,1074
173,09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351,1083
174,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402,1221
175,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379,1122
176,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402,1224
177,09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369,1121
178,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388,1166
179,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371,1039
180,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440,1333
181,10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365,1150
182,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394,1190
183,10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382,1157
184,10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370,1158
185,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302,962
186,10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385,1182
187,10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,NA,NA,NA,NA,NA
188,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301,934
189,10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383,1181
190,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387,1180
191,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330,1029
192,10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365,1106
193,10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400,1222
194,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372,1077
195,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367,1119
196,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352,1082
197,10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410,1255
198,10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,1270
199,10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649,1969
200,10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339,1052
201,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414,1263
202,10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,NA,NA,NA,NA,NA
203,10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354,1064
204,10X549,DISCOVERY HIGH SCHOOL,55,372,379,364,1115
205,10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356,1100
206,10X667,GRACE DODGE YABC,10,350,356,317,1023
207,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636,1920
208,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382,1133
209,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390,1147
210,11X265,BRONX LAB SCHOOL,81,377,391,367,1135
211,11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361,1141
212,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354,1111
213,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433,1348
214,11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383,1135
215,11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391,1169
216,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353,1081
217,11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,NA,NA,NA,NA,NA
218,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,1268
219,11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,1151
220,11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,NA,NA,NA,NA,NA
221,11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,1048
222,11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,1112
223,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,1129
224,11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,1288
225,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,1126
226,11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,1163
227,12X245,NEW DAY ACADEMY,25,348,344,354,1046
228,12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,1055
229,12X251,EXPLORATIONS ACADEMY,57,381,381,360,1122
230,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,1074
231,12X267,BRONX LATIN,36,408,432,411,1251
232,12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,1102
233,12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,1155
234,12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,970
235,12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,NA,NA,NA,NA,NA
236,12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,1101
237,12X478,THE CINEMA SCHOOL,NA,NA,NA,NA,NA
